2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: defer
2022-12-17 04:42:26,543 INFO    HandlerThread:21080 [handler.py:handle_request_defer():162] handle defer: 10
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: defer
2022-12-17 04:42:26,543 INFO    SenderThread:21080 [sender.py:send_request_defer():459] handle sender defer: 10
2022-12-17 04:42:26,543 INFO    SenderThread:21080 [sender.py:transition_state():463] send defer: 11
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: defer
2022-12-17 04:42:26,543 INFO    HandlerThread:21080 [handler.py:handle_request_defer():162] handle defer: 11
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: defer
2022-12-17 04:42:26,543 INFO    SenderThread:21080 [sender.py:send_request_defer():459] handle sender defer: 11
2022-12-17 04:42:26,543 INFO    SenderThread:21080 [sender.py:transition_state():463] send defer: 12
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: defer
2022-12-17 04:42:26,543 INFO    HandlerThread:21080 [handler.py:handle_request_defer():162] handle defer: 12
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send():303] send: final
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: defer
2022-12-17 04:42:26,543 INFO    SenderThread:21080 [sender.py:send_request_defer():459] handle sender defer: 12
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: poll_exit
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: poll_exit
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: poll_exit
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: poll_exit
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: server_info
2022-12-17 04:42:26,543 DEBUG   SenderThread:21080 [sender.py:send_request():317] send_request: server_info
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: get_summary
2022-12-17 04:42:26,543 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: sampled_history
2022-12-17 04:42:26,543 INFO    MainThread:21080 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2022-12-17 04:42:26,543 INFO    MainThread:21080 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2022-12-17 04:42:26,558 DEBUG   HandlerThread:21080 [handler.py:handle_request():139] handle_request: shutdown
2022-12-17 04:42:26,558 INFO    HandlerThread:21080 [handler.py:finish():814] shutting down handler
2022-12-17 04:42:27,565 INFO    WriterThread:21080 [datastore.py:close():279] close: D:\Courses\ML\flatland-v2.2.1\flatland-v2.2.1\start\src\wandb\offline-run-20221217_044219-yvjdibef\run-yvjdibef.wandb
2022-12-17 04:42:27,566 INFO    SenderThread:21080 [sender.py:finish():1331] shutting down sender
2022-12-17 04:42:27,566 INFO    MainThread:21080 [internal.py:handle_exit():77] Internal process exited
